# csv2chart.title=Multiple Eval vs. Single Compile + Multiple Eval
n, Multi Eval, Compile Multi Eval
158, 1.3774238, 1.2236657
159, 1.4369596, 1.1393988
160, 1.2928015, 1.3035868000000002
161, 1.379083, 1.2366632
162, 1.568318, 1.4576213
163, 1.6196363999999999, 1.3142139
164, 5.6852216, 2.9449122
165, 1.3961498, 1.4094239
166, 1.547024, 1.2287618
167, 1.5151822, 1.5299573
168, 1.7682984999999998, 1.5033696
169, 1.5454044, 1.2789745
170, 1.613039, 1.5421648
171, 1.9699775, 1.5975526
172, 1.5241894999999999, 1.3282384
173, 1.3635967, 1.4490880000000002
174, 1.5158932, 1.3720508
175, 1.5902438, 1.3723276
176, 1.4879229, 1.566066
177, 1.5358041, 1.4239226999999999
178, 1.4309943, 1.2939076999999999
179, 1.6619872, 1.4912018
180, 1.5332761, 1.343883
181, 1.4762685, 1.3985597
182, 1.4113598, 1.5962884000000002
183, 1.7771874, 1.6158439000000002
184, 2.0440914, 1.5366735
185, 1.6289205, 1.6532958
186, 1.631449, 1.5469056
187, 1.5457204, 1.5473006
188, 1.6815823, 1.3371275
189, 1.3918436, 1.4970092
190, 1.5371869999999999, 1.4444263
191, 1.4416609, 1.7011378000000001
192, 1.6890884, 1.5810784
193, 1.5762192000000002, 1.5877549
194, 1.5351722, 1.530866
195, 1.5921006, 1.35293
196, 1.4295325, 1.3093941
197, 1.4746486, 1.5842784
198, 1.4666684, 1.4781647
199, 1.4982734, 1.3669547
200, 1.5333155, 1.4447424
201, 1.4633499, 1.3502041
202, 1.5918241, 1.3690879
203, 1.5075574, 1.6397057
204, 1.6643968999999998, 1.4029449
205, 1.6164760999999999, 1.4402388
206, 1.470777, 1.5405845
207, 1.4702635000000002, 1.353167
208, 1.6291573, 1.3746584
209, 1.4879228, 1.4004953
210, 1.6480413999999999, 1.3761991
211, 1.4920313, 1.5126932
212, 1.5392018, 1.3978487
213, 1.6283276999999998, 1.3880905000000001
214, 1.6234292, 1.6121303999999999
215, 1.5608119, 1.4331277999999998
216, 1.6782635, 1.4125055
217, 1.5476165, 1.6039919
218, 1.5762983, 1.397414
219, 1.7196268, 1.6000019
220, 1.6635278, 1.8028268
221, 1.8630343, 1.4741747
222, 1.6924465000000002, 1.4437942
223, 1.5883081000000001, 1.5902044
224, 1.5851475000000002, 1.4432016
